entity_id,group_id,signature,entity_type,simple_name,qualified_name,file,start_line,end_line,block_id,observed_products,resolution_status
"E15","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","METHOD","explodieren","Missile$$TankWar.explodieren","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",122,124,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E16","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","METHOD","remove","Missile$$TankWar.remove","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",125,127,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E17","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","CLASS","Tank$$Tools","Tank$$Tools","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",14,42,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E18","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","CONSTRUCTOR","Tank$$Tools","Tank$$Tools.Tank$$Tools","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",15,17,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E19","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","METHOD","malen","Tank$$Tools.malen","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",18,37,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E20","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","METHOD","toolKontroller","Tank$$Tools.toolKontroller","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",38,39,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E21","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","METHOD","toolBehandeln","Tank$$Tools.toolBehandeln","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",40,41,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E22","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","CLASS","MapInfo","MapInfo","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",11,132,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E23","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","brickWall","MapInfo.brickWall","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",12,12,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E24","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","metalWall","MapInfo.metalWall","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",13,13,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E25","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","grassWall","MapInfo.grassWall","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",14,14,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E26","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","waterWall","MapInfo.waterWall","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",15,15,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E27","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","enemyPosition","MapInfo.enemyPosition","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",16,16,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E28","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","enemyType","MapInfo.enemyType","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",17,17,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E29","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","tankManager","MapInfo.tankManager","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",18,18,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E30","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","read","MapInfo.read","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",19,19,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E31","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","mapSize","MapInfo.mapSize","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",20,20,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
