feature_condition_a,feature_condition_b,product_signature_a,product_signature_b,confidence,evidence_categories,supporting_block_pairs,supporting_entity_pairs,explanation
TankWar_P1|TankWar_P3,TankWar_P2,TankWar_P1|TankWar_P3,TankWar_P2,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset31:IF:12-13 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset31:ELIF:14-16 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset33:IF:7-8 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset33:ELIF:9-10 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset37:IF:24-26 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset37:ELIF:27-28,Maler$$Mars <-> Maler$$Mars | TankManager$$Mars <-> TankManager$$Mars | Tool$$Mars <-> Tool$$Mars,candidate only; no excludes/XOR/feature-model inference
TankWar_P1|TankWar_P4|TankWar_P5,TankWar_P2,TankWar_P1|TankWar_P4|TankWar_P5,TankWar_P2,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:26-28 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:ELIF:32-33,Maler$$fuer_PC <-> Maler$$fuer_PC,candidate only; no excludes/XOR/feature-model inference
TankWar_P1|TankWar_P4|TankWar_P5,TankWar_P3,TankWar_P1|TankWar_P4|TankWar_P5,TankWar_P3,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:26-28 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:ELIF:29-31,Maler$$fuer_PC <-> Maler$$fuer_PC,candidate only; no excludes/XOR/feature-model inference
TankWar_P2,TankWar_P3,TankWar_P2,TankWar_P3,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CALL_CONTEXT|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:ELIF:29-31 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:ELIF:32-33 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32:ELIF:27-29 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32:ELIF:30-31 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36:ELIF:14-15 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36:ELIF:16-18 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41:IF:9-11 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41:ELIF:12-14 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset61:IF:23-25 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset61:ELIF:26-27 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset65:IF:4-59 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset71:IF:4-26 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:IF:26-28 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:ELIF:32-33 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset70:IF:4-29 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset81:IF:4-29 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset75:IF:4-20 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset78:IF:4-20 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset77:IF:4-23 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset83:IF:4-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:13-15 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:21-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:52-55 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:56-58,Maler <-> Maler | Maler$$Germany_Leopard <-> Maler$$Germany_Leopard | Maler$$einfrieren <-> Maler$$einfrieren | Maler$$fuer_PC <-> Maler$$fuer_PC | Missile <-> Missile | Missile.Missile <-> Missile.Missile | Missile.init <-> Missile.init | Sprach <-> Sprach | Sprach.EXIT <-> Sprach.EXIT | Sprach.HELP <-> Sprach.HELP | Sprach.HNOTE <-> Sprach.HNOTE | Sprach.HelpItem <-> Sprach.HelpItem | Sprach.LEVEL <-> Sprach.LEVEL | Sprach.LIAN_WANG <-> Sprach.LIAN_WANG | Sprach.LOSE <-> Sprach.LOSE | Sprach.MAIN_MENU <-> Sprach.MAIN_MENU | Sprach.NOTE <-> Sprach.NOTE | Sprach.Name <-> Sprach.Name | Sprach.PAUSE <-> Sprach.PAUSE | Sprach.RESUME <-> Sprach.RESUME | Sprach.START <-> Sprach.START | Sprach.TANKA <-> Sprach.TANKA | Sprach.TANKB <-> Sprach.TANKB | Sprach.TANKC <-> Sprach.TANKC | Sprach.WIN <-> Sprach.WIN | Tank <-> Tank | Tank$$Image <-> Tank$$Image | Tank$$Mars <-> Tank$$Mars | Tank.Tank <-> Tank.Tank | Tank.tankFeindKI <-> Tank.tankFeindKI | TankManager <-> TankManager | TankManager$$einfrieren <-> TankManager$$einfrieren | TankManager.TankManager <-> TankManager.TankManager | TankManager.aktualisieren <-> TankManager.aktualisieren | TankManager.sound <-> TankManager.sound,candidate only; no excludes/XOR/feature-model inference
TankWar_P2,TankWar_P3|TankWar_P4,TankWar_P2,TankWar_P3|TankWar_P4,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset48:IF:10-11 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset48:ELIF:12-13,Tank$$Sound_fuer_pc <-> Tank$$Sound_fuer_pc,candidate only; no excludes/XOR/feature-model inference
TankWar_P2,TankWar_P4,TankWar_P2,TankWar_P4,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CALL_CONTEXT|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30:ELIF:11-13 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30:ELIF:14-16 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38:IF:9-11 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38:ELIF:12-14 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset67:IF:4-23 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset77:IF:4-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset68:IF:4-20 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset78:IF:4-20 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset69:IF:4-59 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset71:IF:4-26 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset70:IF:4-29 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset84:IF:4-29 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:18-20 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:21-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:56-58 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:59-62,Missile <-> Missile | Missile.Missile <-> Missile.Missile | Missile.init <-> Missile.init | Sprach <-> Sprach | Sprach.EXIT <-> Sprach.EXIT | Sprach.HELP <-> Sprach.HELP | Sprach.HNOTE <-> Sprach.HNOTE | Sprach.HelpItem <-> Sprach.HelpItem | Sprach.LEVEL <-> Sprach.LEVEL | Sprach.LIAN_WANG <-> Sprach.LIAN_WANG | Sprach.LOSE <-> Sprach.LOSE | Sprach.MAIN_MENU <-> Sprach.MAIN_MENU | Sprach.NOTE <-> Sprach.NOTE | Sprach.Name <-> Sprach.Name | Sprach.PAUSE <-> Sprach.PAUSE | Sprach.RESUME <-> Sprach.RESUME | Sprach.START <-> Sprach.START | Sprach.TANKA <-> Sprach.TANKA | Sprach.TANKB <-> Sprach.TANKB | Sprach.TANKC <-> Sprach.TANKC | Sprach.WIN <-> Sprach.WIN | Tank <-> Tank | Tank$$Bombe <-> Tank$$Bombe | Tank$$Image <-> Tank$$Image | Tank.Tank <-> Tank.Tank | Tank.tankFeindKI <-> Tank.tankFeindKI | TankManager <-> TankManager | TankManager$$Bombe <-> TankManager$$Bombe | TankManager.TankManager <-> TankManager.TankManager | TankManager.aktualisieren <-> TankManager.aktualisieren | TankManager.sound <-> TankManager.sound,candidate only; no excludes/XOR/feature-model inference
TankWar_P2,TankWar_P4|TankWar_P5,TankWar_P2,TankWar_P4|TankWar_P5,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset35:IF:24-26 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset35:ELIF:27-28 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset42:IF:7-8 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset42:ELIF:9-10 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:ELIF:32-33 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:ELIF:34-36,Maler <-> Maler | Maler$$Bombe <-> Maler$$Bombe | Tool$$Bombe <-> Tool$$Bombe,candidate only; no excludes/XOR/feature-model inference
TankWar_P2,TankWar_P5,TankWar_P2,TankWar_P5,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CALL_CONTEXT|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:18-19 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset70:IF:4-29 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30:IF:9-10 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30:ELIF:11-13 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38:ELIF:12-14 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38:ELIF:15-16 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset71:IF:4-26 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset76:IF:4-25 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset77:IF:4-23 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset79:IF:4-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset78:IF:4-20 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset82:IF:4-31 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:IF:11-12 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:21-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:56-58 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:63-66,Missile <-> Missile | Missile.Missile <-> Missile.Missile | Sprach <-> Sprach | Sprach.EXIT <-> Sprach.EXIT | Sprach.HELP <-> Sprach.HELP | Sprach.HNOTE <-> Sprach.HNOTE | Sprach.HelpItem <-> Sprach.HelpItem | Sprach.LEVEL <-> Sprach.LEVEL | Sprach.LIAN_WANG <-> Sprach.LIAN_WANG | Sprach.LOSE <-> Sprach.LOSE | Sprach.MAIN_MENU <-> Sprach.MAIN_MENU | Sprach.NOTE <-> Sprach.NOTE | Sprach.Name <-> Sprach.Name | Sprach.PAUSE <-> Sprach.PAUSE | Sprach.RESUME <-> Sprach.RESUME | Sprach.START <-> Sprach.START | Sprach.TANKA <-> Sprach.TANKA | Sprach.TANKB <-> Sprach.TANKB | Sprach.TANKC <-> Sprach.TANKC | Sprach.WIN <-> Sprach.WIN | Tank <-> Tank | Tank$$Bombe <-> Tank$$Bombe | Tank$$Image <-> Tank$$Image | Tank.Tank <-> Tank.Tank | Tank.tankFeindKI <-> Tank.tankFeindKI | TankManager <-> TankManager | TankManager$$Bombe <-> TankManager$$Bombe,candidate only; no excludes/XOR/feature-model inference
TankWar_P2|TankWar_P4,TankWar_P3,TankWar_P2|TankWar_P4,TankWar_P3,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset45:IF:8-9 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset45:ELIF:10-11,Missile$$Image <-> Missile$$Image,candidate only; no excludes/XOR/feature-model inference
TankWar_P3,TankWar_P4,TankWar_P3,TankWar_P4,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CALL_CONTEXT|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:IF:13-15 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:16-17 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset65:IF:4-59 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset69:IF:4-59 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset67:IF:4-23 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset83:IF:4-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset68:IF:4-20 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset75:IF:4-20 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset81:IF:4-29 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset84:IF:4-29 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:13-15 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:18-20 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:52-55 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:59-62,Missile <-> Missile | Missile.Missile <-> Missile.Missile | Missile.init <-> Missile.init | Sprach <-> Sprach | Sprach.EXIT <-> Sprach.EXIT | Sprach.HELP <-> Sprach.HELP | Sprach.HNOTE <-> Sprach.HNOTE | Sprach.HelpItem <-> Sprach.HelpItem | Sprach.LEVEL <-> Sprach.LEVEL | Sprach.LIAN_WANG <-> Sprach.LIAN_WANG | Sprach.LOSE <-> Sprach.LOSE | Sprach.MAIN_MENU <-> Sprach.MAIN_MENU | Sprach.NOTE <-> Sprach.NOTE | Sprach.Name <-> Sprach.Name | Sprach.PAUSE <-> Sprach.PAUSE | Sprach.RESUME <-> Sprach.RESUME | Sprach.START <-> Sprach.START | Sprach.TANKA <-> Sprach.TANKA | Sprach.TANKB <-> Sprach.TANKB | Sprach.TANKC <-> Sprach.TANKC | Sprach.WIN <-> Sprach.WIN | Tank <-> Tank | Tank$$Image <-> Tank$$Image | Tank.Tank <-> Tank.Tank | Tank.tankFeindKI <-> Tank.tankFeindKI | TankManager <-> TankManager | TankManager$$Record <-> TankManager$$Record | TankManager.TankManager <-> TankManager.TankManager | TankManager.aktualisieren <-> TankManager.aktualisieren | TankManager.sound <-> TankManager.sound,candidate only; no excludes/XOR/feature-model inference
TankWar_P3,TankWar_P4|TankWar_P5,TankWar_P3,TankWar_P4|TankWar_P5,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:IF:26-28 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:ELIF:34-36,Maler <-> Maler,candidate only; no excludes/XOR/feature-model inference
TankWar_P3,TankWar_P5,TankWar_P3,TankWar_P5,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CALL_CONTEXT|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:16-17 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:18-19 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:18-19 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset81:IF:4-29 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29:IF:12-13 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29:ELIF:14-15 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34:IF:25-26 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34:ELIF:29-30 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39:IF:9-11 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39:ELIF:14-15 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43:IF:7-8 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43:ELIF:9-10 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset54:IF:11-12 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset54:ELIF:13-14 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset58:IF:8-10 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset58:ELIF:11-12 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset65:IF:4-59 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset76:IF:4-25 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset75:IF:4-20 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset82:IF:4-31 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset79:IF:4-23 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset83:IF:4-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:IF:11-12 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:13-15 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:52-55 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:63-66,Maler$$Feuerkraft <-> Maler$$Feuerkraft | Missile <-> Missile | Missile.Missile <-> Missile.Missile | Sprach <-> Sprach | Sprach.EXIT <-> Sprach.EXIT | Sprach.HELP <-> Sprach.HELP | Sprach.HNOTE <-> Sprach.HNOTE | Sprach.HelpItem <-> Sprach.HelpItem | Sprach.LEVEL <-> Sprach.LEVEL | Sprach.LIAN_WANG <-> Sprach.LIAN_WANG | Sprach.LOSE <-> Sprach.LOSE | Sprach.MAIN_MENU <-> Sprach.MAIN_MENU | Sprach.NOTE <-> Sprach.NOTE | Sprach.Name <-> Sprach.Name | Sprach.PAUSE <-> Sprach.PAUSE | Sprach.RESUME <-> Sprach.RESUME | Sprach.START <-> Sprach.START | Sprach.TANKA <-> Sprach.TANKA | Sprach.TANKB <-> Sprach.TANKB | Sprach.TANKC <-> Sprach.TANKC | Sprach.WIN <-> Sprach.WIN | Tank <-> Tank | Tank$$Feuerkraft <-> Tank$$Feuerkraft | Tank$$Image <-> Tank$$Image | Tank$$explodieren <-> Tank$$explodieren | Tank.Tank <-> Tank.Tank | Tank.tankFeindKI <-> Tank.tankFeindKI | TankManager <-> TankManager | TankManager$$Feuerkraft <-> TankManager$$Feuerkraft | TankManager$$explodieren <-> TankManager$$explodieren | Tool$$Feuerkraft <-> Tool$$Feuerkraft,candidate only; no excludes/XOR/feature-model inference
TankWar_P4,TankWar_P5,TankWar_P4,TankWar_P5,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CALL_CONTEXT|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20:ELIF:11-12 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20:ELIF:13-14 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:18-19 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset84:IF:4-29 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:IF:13-15 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:18-19 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30:IF:9-10 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30:ELIF:14-16 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38:IF:9-11 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38:ELIF:15-16 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40:IF:25-26 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40:ELIF:27-28 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset67:IF:4-23 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset79:IF:4-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset68:IF:4-20 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset82:IF:4-31 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset69:IF:4-59 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset76:IF:4-25 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:IF:11-12 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:18-20 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:59-62 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:63-66,Maler$$M_600 <-> Maler$$M_600 | Missile <-> Missile | Missile.Missile <-> Missile.Missile | Sprach <-> Sprach | Sprach.EXIT <-> Sprach.EXIT | Sprach.HELP <-> Sprach.HELP | Sprach.HNOTE <-> Sprach.HNOTE | Sprach.HelpItem <-> Sprach.HelpItem | Sprach.LEVEL <-> Sprach.LEVEL | Sprach.LIAN_WANG <-> Sprach.LIAN_WANG | Sprach.LOSE <-> Sprach.LOSE | Sprach.MAIN_MENU <-> Sprach.MAIN_MENU | Sprach.NOTE <-> Sprach.NOTE | Sprach.Name <-> Sprach.Name | Sprach.PAUSE <-> Sprach.PAUSE | Sprach.RESUME <-> Sprach.RESUME | Sprach.START <-> Sprach.START | Sprach.TANKA <-> Sprach.TANKA | Sprach.TANKB <-> Sprach.TANKB | Sprach.TANKC <-> Sprach.TANKC | Sprach.WIN <-> Sprach.WIN | Tank <-> Tank | Tank$$Bombe <-> Tank$$Bombe | Tank$$Image <-> Tank$$Image | Tank.Tank <-> Tank.Tank | Tank.tankFeindKI <-> Tank.tankFeindKI | TankManager <-> TankManager | TankManager$$Bombe <-> TankManager$$Bombe | Tool <-> Tool,candidate only; no excludes/XOR/feature-model inference
