entity_id,entity_type,simple_name,qualified_name,file,start_line,end_line,group_id,signature,observed_products
"E18","CONSTRUCTOR","Tank$$Tools","Tank$$Tools.Tank$$Tools","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",15,17,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E19","METHOD","malen","Tank$$Tools.malen","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",18,37,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E20","METHOD","toolKontroller","Tank$$Tools.toolKontroller","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",38,39,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E21","METHOD","toolBehandeln","Tank$$Tools.toolBehandeln","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",40,41,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E22","CLASS","MapInfo","MapInfo","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",11,132,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E23","FIELD","brickWall","MapInfo.brickWall","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",12,12,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E24","FIELD","metalWall","MapInfo.metalWall","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",13,13,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E25","FIELD","grassWall","MapInfo.grassWall","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",14,14,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E26","FIELD","waterWall","MapInfo.waterWall","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",15,15,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E27","FIELD","enemyPosition","MapInfo.enemyPosition","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",16,16,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E28","FIELD","enemyType","MapInfo.enemyType","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",17,17,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E29","FIELD","tankManager","MapInfo.tankManager","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",18,18,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E30","FIELD","read","MapInfo.read","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",19,19,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E31","FIELD","mapSize","MapInfo.mapSize","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",20,20,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E32","FIELD","playerLocationX","MapInfo.playerLocationX","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",21,21,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E33","FIELD","playerLocationY","MapInfo.playerLocationY","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",22,22,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E34","FIELD","baseLocationX","MapInfo.baseLocationX","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",23,23,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E35","FIELD","baseLocationY","MapInfo.baseLocationY","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",24,24,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E36","FIELD","brickWallLocationX","MapInfo.brickWallLocationX","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",25,25,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E37","FIELD","brickWallLocationY","MapInfo.brickWallLocationY","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",26,26,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E38","FIELD","brickWallWidth","MapInfo.brickWallWidth","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",27,27,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E39","FIELD","brickWallHeight","MapInfo.brickWallHeight","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",28,28,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E40","FIELD","metalWallLocationX","MapInfo.metalWallLocationX","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",29,29,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E41","FIELD","metalWallLocationY","MapInfo.metalWallLocationY","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",30,30,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E42","FIELD","metalWallWidth","MapInfo.metalWallWidth","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",31,31,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E43","FIELD","metalWallHeight","MapInfo.metalWallHeight","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",32,32,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E44","FIELD","grassWallLocationX","MapInfo.grassWallLocationX","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",33,33,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E45","FIELD","grassWallLocationY","MapInfo.grassWallLocationY","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",34,34,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E46","FIELD","grassWallWidth","MapInfo.grassWallWidth","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",35,35,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E47","FIELD","grassWallHeight","MapInfo.grassWallHeight","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",36,36,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E48","FIELD","waterWallLocationX","MapInfo.waterWallLocationX","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",37,37,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E49","FIELD","waterWallLocationY","MapInfo.waterWallLocationY","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",38,38,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E50","FIELD","waterWallWidth","MapInfo.waterWallWidth","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",39,39,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E51","FIELD","waterWallHeight","MapInfo.waterWallHeight","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",40,40,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E52","FIELD","enemyLocation","MapInfo.enemyLocation","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",41,41,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E53","FIELD","enemyAllNr","MapInfo.enemyAllNr","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",42,42,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E54","FIELD","enemyMaxNr","MapInfo.enemyMaxNr","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",43,43,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E55","FIELD","enemyTy","MapInfo.enemyTy","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",44,44,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E56","CONSTRUCTOR","MapInfo","MapInfo.MapInfo","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",45,49,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E57","METHOD","readMap","MapInfo.readMap","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",50,131,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E58","CLASS","MIDlet","MIDlet","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset12",9,10,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E59","CLASS","Maler$$fuer_PC","Maler$$fuer_PC","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",28,358,"G10","TankWar_P1|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P4|TankWar_P5"
"E60","CLASS","Maler$$fuer_PC","Maler$$fuer_PC","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",31,358,"G17","TankWar_P3","TankWar_P3"
"E61","CLASS","Maler$$fuer_PC","Maler$$fuer_PC","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",33,358,"G12","TankWar_P2","TankWar_P2"
"E62","FIELD","images","Maler$$fuer_PC.images","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",35,35,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E63","CONSTRUCTOR","Maler$$fuer_PC","Maler$$fuer_PC.Maler$$fuer_PC","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",36,38,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E64","METHOD","drawImage","Maler$$fuer_PC.drawImage","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",39,353,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E65","METHOD","loadimage","Maler$$fuer_PC.loadimage","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",354,357,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E66","CLASS","Tank$$TankWar","Tank$$TankWar","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",14,384,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E67","FIELD","geschwindigkeit","Tank$$TankWar.geschwindigkeit","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",15,15,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E68","FIELD","xf_Koordinate","Tank$$TankWar.xf_Koordinate","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",15,15,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E69","FIELD","yf_Koordinate","Tank$$TankWar.yf_Koordinate","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",15,15,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E70","FIELD","currTime","Tank$$TankWar.currTime","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",16,16,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E71","FIELD","time","Tank$$TankWar.time","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",17,17,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E72","FIELD","time1","Tank$$TankWar.time1","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",17,17,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E73","FIELD","missileType","Tank$$TankWar.missileType","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",18,18,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E74","FIELD","feuernKontroller","Tank$$TankWar.feuernKontroller","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",19,19,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E75","FIELD","feuernHaufigkeit","Tank$$TankWar.feuernHaufigkeit","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",20,20,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E76","FIELD","energie","Tank$$TankWar.energie","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",21,21,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E77","FIELD","random","Tank$$TankWar.random","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",22,22,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E78","FIELD","aktive","Tank$$TankWar.aktive","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",23,23,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E79","FIELD","feuern","Tank$$TankWar.feuern","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",24,24,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E80","FIELD","keyDown","Tank$$TankWar.keyDown","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",25,25,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E81","FIELD","keyLeft","Tank$$TankWar.keyLeft","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",25,25,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E82","FIELD","keyRight","Tank$$TankWar.keyRight","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",25,25,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E83","FIELD","keyUp","Tank$$TankWar.keyUp","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",25,25,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E84","FIELD","flachHeit","Tank$$TankWar.flachHeit","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",26,26,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E85","FIELD","feindlich","Tank$$TankWar.feindlich","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",27,27,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E86","FIELD","beschId","Tank$$TankWar.beschId","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",28,28,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E87","FIELD","elapsedTime","Tank$$TankWar.elapsedTime","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",29,29,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E88","FIELD","flachHeitRichtung","Tank$$TankWar.flachHeitRichtung","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",30,30,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E89","FIELD","fahrRichtung","Tank$$TankWar.fahrRichtung","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",31,31,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E90","FIELD","tankRichtung","Tank$$TankWar.tankRichtung","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14",31,31,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
