evidence_id,candidate_id,source_file,source_line,source_entity,source_entity_type,source_block_id,source_asset_id,source_is_outermost,target_file,target_line,target_entity,target_entity_type,target_block_id,target_asset_id,target_is_outermost,dependency_kind,code_snippet,source_products,target_products
D33,RC-0010,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,78,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,25,MapInfo.brickWallLocationX,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,brickWallLocationX = (((int) toChar[i + 1] - 48) * 10 + (int) toChar[i + 2] - 48);,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D40,RC-0010,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,82,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,25,MapInfo.brickWallLocationX,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,"brickWall.addElement(new Wall(tankManager, brickWallLocationX, brickWallLocationY, brickWallWidth, brickWallHeight, 31));",TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D34,RC-0011,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,79,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,26,MapInfo.brickWallLocationY,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,brickWallLocationY = (((int) toChar[i + 3] - 48) * 10 + (int) toChar[i + 4] - 48);,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D41,RC-0011,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,82,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,26,MapInfo.brickWallLocationY,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,"brickWall.addElement(new Wall(tankManager, brickWallLocationX, brickWallLocationY, brickWallWidth, brickWallHeight, 31));",TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D35,RC-0012,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,80,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,27,MapInfo.brickWallWidth,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,brickWallWidth = (((int) toChar[i + 5] - 48) * 10 + (int) toChar[i + 6] - 48);,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D42,RC-0012,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,82,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,27,MapInfo.brickWallWidth,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,"brickWall.addElement(new Wall(tankManager, brickWallLocationX, brickWallLocationY, brickWallWidth, brickWallHeight, 31));",TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D17,RC-0013,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,111,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,42,MapInfo.enemyAllNr,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,enemyAllNr = ((int) toChar[i + 1] - 48) * 10 + (int) toChar[i + 2] - 48;,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D14,RC-0014,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,106,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,41,MapInfo.enemyLocation,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,enemyLocation = ((int) toChar[i + 1] - 48) * 1000 + ((int) toChar[i + 2] - 48) * 100 + ((int) toChar[i + 3] - 48) * 10 + (int) toChar[i + 4] - 48;,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D15,RC-0014,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,107,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,41,MapInfo.enemyLocation,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,Integer temp = new Integer(enemyLocation);,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D18,RC-0015,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,114,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,43,MapInfo.enemyMaxNr,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,enemyMaxNr = ((int) toChar[i + 1] - 48) * 10 + (int) toChar[i + 2] - 48;,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
